"","tank","week","Mb","mba","mba1","pp.N","AvgS","CMb","Cmba","Cmba1","C.N","CAvgS","OMb","Omba","Omba1","O.N","OAvgS","CNMb","CNmba","CNmba1","CN.N","CN.AvgS","FNMb","FNmba","FNmba1","FN.N","FN.AvgS"
"58",12,2,60271.9622488246,79.1511737372658,41.303289875648,177,340.519560727823,21248.0322013855,90.8838108531336,11.565768642371,52,408.616003872797,39023.9300474391,74.2703966970648,29.737521233277,125,312.191440379513,NA,NA,NA,NA,NA,60271.9622488246,79.1511737372658,41.303289875648,177,340.519560727823
"59",12,6,64687.1388805107,60.7092873364864,103.358100665937,256,252.684136251995,9350.28166745303,39.6895726478853,51.7997590516762,52,179.813108989481,55336.8572130577,66.0672538257376,51.558341614261,204,271.259103985577,NA,NA,NA,NA,NA,64687.1388805107,60.7092873364864,103.358100665937,256,252.684136251995
"60",12,7,64717.0985857722,62.0212536879974,70.8820119021114,255,253.792543473616,10067.8632106478,44.8684398117721,20.7515611405414,58,173.583848459445,54649.2353751244,67.0713207175459,50.1304507615701,197,277.407286168144,413.746099081749,32.4343680532964,1.25427137562016,4,103.436524770437,64717.0985857722,62.0212536879974,70.8820119021114,255,253.792543473616
"61",13,0,3787.91663963385,47.1418712875037,6.67047133204246,20,189.395831981693,1419.45223286554,61.9773607042158,1.96295086029144,5,283.890446573108,2368.46440676831,42.1967081485996,4.70752047175103,15,157.897627117888,NA,NA,NA,NA,NA,3787.91663963385,47.1418712875037,6.67047133204246,20,189.395831981693
"62",13,1,785.884321733176,50.2151302857159,1.17940426421642,4,196.471080433294,NA,NA,NA,NA,NA,785.884321733176,50.2151302857159,1.17940426421642,4,196.471080433294,NA,NA,NA,NA,NA,785.884321733176,50.2151302857159,1.17940426421642,4,196.471080433294
"63",13,2,54151.5751646098,81.2421843905147,35.6269416774355,152,356.260362925064,27324.382614919,91.7411552955365,14.6412044769724,66,414.005797195743,26827.1925496908,73.1848346261955,20.9857372004631,86,311.944099415009,1634.19282822005,257.026247180638,0.157280244254032,1,1634.19282822005,54151.5751646098,81.2421843905147,35.6269416774355,152,356.260362925064
"64",13,6,57979.0210013789,57.3796389687877,68.8528096784748,230,253.183497822615,10624.6831970843,78.8007658759269,12.042214213875,30,354.156106569478,49126.0357611463,53.0663944567312,56.9647309302968,199,237.961496503993,NA,NA,NA,NA,NA,57979.0210013789,56.4377094898136,68.8528096784748,229,253.183497822615
"65",13,7,17876.7815100832,49.4879571725088,32.6141272545462,88,203.145244432764,5645.61203998709,40.2229480406336,16.8570533371407,31,182.116517418938,12231.1694700961,54.5268217880901,15.7570739174055,57,214.581920528002,1965.29397063831,32.4343680532964,5.95778903419578,19,103.436524770437,17876.7815100832,49.4879571725088,32.6141272545462,88,203.145244432764
"66",14,0,176853.237124474,117.956291372718,62.5722592618241,305,579.846679096637,176530.234242526,119.17617745243,61.1650514128561,301,586.479183529987,323.002881948299,26.159863874367,1.40720784896798,4,80.7507204870747,NA,NA,NA,NA,NA,176853.237124474,117.956291372718,62.5722592618241,305,579.846679096637
"67",14,1,45374.1309487469,169.901187299184,8.63357819518378,35,1296.40374139277,38509.682992534,474.058601467818,1.99416773442922,9,4278.85366583711,6864.44795621289,64.6159285485028,6.63941046075456,26,264.017229085111,NA,NA,NA,NA,NA,45374.1309487469,169.901187299184,8.63357819518378,35,1296.40374139277
